epoch,train_loss,val_loss,train_cosine_similarity,train_std_ctx,train_std_tgt,train_loss_near,train_loss_med,train_loss_far_pooled,train_loss_near_weighted,train_loss_med_weighted,train_loss_far_weighted,train_loss_total
0,0.31692616904967397,0.2917312149490629,0.8809141864104825,0.2548629333218817,0.5178860236185691,0.09960691593793215,0.10230011890194693,0.1150191332218726,0.09960691593793215,0.10230011890194693,0.1150191332218726,0.31692616904967397
1,0.24060860288571256,0.202854863767113,0.9102420854634343,0.4448921447465433,0.6066800625120079,0.07159403873123846,0.08385934990455103,0.08515521388974308,0.07159403873123846,0.08385934990455103,0.08515521388974308,0.24060860288571256
2,0.16655604568057955,0.12890782154032163,0.93864404340146,0.5050960145684895,0.6147273361518238,0.04494682981154125,0.06270606314650227,0.05890315246783732,0.04494682981154125,0.06270606314650227,0.05890315246783732,0.16655604568057955
3,0.09742024571773755,0.0906830835555281,0.962809688807851,0.5504743241967417,0.6166565396015157,0.02406836125371947,0.03567834909573115,0.03767353521135137,0.02406836125371947,0.03567834909573115,0.03767353521135137,0.09742024571773755
4,0.07545664143949253,0.07191645713256938,0.970301551301835,0.5778252620723366,0.6279071538158543,0.01734106477159616,0.027141350311180833,0.030974226391447184,0.01734106477159616,0.027141350311180833,0.030974226391447184,0.07545664143949253
5,0.05470117366260422,0.05518969201615879,0.9785485874388099,0.5899568605159528,0.625951269466574,0.012666450581868379,0.019392189464290003,0.022642533498100977,0.012666450581868379,0.019392189464290003,0.022642533498100977,0.05470117366260422
6,0.04269640186276719,0.04670372058504394,0.9834282642734643,0.5919051578690334,0.6197130205058261,0.010059892750494388,0.015136052197030648,0.017500456983419083,0.010059892750494388,0.015136052197030648,0.017500456983419083,0.04269640186276719
7,0.036517863707277325,0.04191255031951836,0.985892271221672,0.5908710838022811,0.6145041547921481,0.008690445658812577,0.012925147496997405,0.014902270489079024,0.008690445658812577,0.012925147496997405,0.014902270489079024,0.036517863707277325
8,0.032748851109584226,0.03877083264025194,0.9873605950102622,0.5897380175346828,0.6109887838198994,0.007828088800772737,0.0115485363163939,0.013372225814257125,0.007828088800772737,0.0115485363163939,0.013372225814257125,0.032748851109584226
9,0.03032804057979699,0.036614625714719296,0.9882577097053686,0.5885225489159316,0.608330906260738,0.007227545638198229,0.010628787781374313,0.012471706985923056,0.007227545638198229,0.010628787781374313,0.012471706985923056,0.03032804057979699
10,0.029268673173465782,0.03651661546900868,0.9884935418215904,0.5878317969444707,0.607223781268241,0.0068041649293308845,0.010109338899096732,0.012355169237627344,0.0068041649293308845,0.010109338899096732,0.012355169237627344,0.029268673173465782
11,0.03005017402442944,0.03882392596985613,0.9879354380112326,0.5902490332640337,0.6104062378241871,0.006773995458102111,0.010131935785828128,0.013144242708463202,0.006773995458102111,0.010131935785828128,0.013144242708463202,0.03005017402442944
12,0.029880506660562852,0.037293198451931985,0.9880576134551295,0.5923851081350232,0.6120909522416184,0.006783878025521642,0.010145892641244672,0.012950735903751537,0.006783878025521642,0.010145892641244672,0.012950735903751537,0.029880506660562852
13,0.02781970275679181,0.03536232759111694,0.9888879094499251,0.588689192800232,0.6071157303962919,0.006341910048887052,0.009451042472266526,0.012026750211197451,0.006341910048887052,0.009451042472266526,0.012026750211197451,0.02781970275679181
