date,1. open,2. high,3. low,4. close,5. volume
2015-01-30 19:55:00,26.0412,26.0412,26.0234,26.0234,38412.0
2015-01-30 19:50:00,26.0323,26.0479,26.0323,26.0412,17396.0
2015-01-30 19:45:00,26.0345,26.0345,26.0301,26.0323,11200.0
2015-01-30 19:40:00,26.0368,26.0456,26.0368,26.0456,5632.0
2015-01-30 19:35:00,26.0212,26.0301,26.0212,26.0301,14304.0
2015-01-30 19:30:00,26.019,26.0212,26.019,26.0212,4400.0
2015-01-30 19:25:00,26.0234,26.0279,26.019,26.019,15920.0
2015-01-30 19:20:00,26.0279,26.0301,26.0279,26.0301,12628.0
2015-01-30 19:15:00,26.0257,26.0279,26.0212,26.0279,1800.0
2015-01-30 19:10:00,26.0279,26.0279,26.0234,26.0279,6600.0
2015-01-30 19:05:00,26.019,26.019,26.019,26.019,4800.0
2015-01-30 19:00:00,26.0279,26.0279,26.019,26.019,5060.0
2015-01-30 18:55:00,26.019,26.019,26.019,26.019,6816.0
2015-01-30 18:50:00,26.0168,26.0212,26.0168,26.0212,5800.0
2015-01-30 18:45:00,26.0146,26.019,26.0146,26.019,2000.0
2015-01-30 18:40:00,26.019,26.0212,26.0146,26.0146,9360.0
2015-01-30 18:35:00,26.0257,26.0279,26.019,26.019,18240.0
2015-01-30 18:30:00,26.0279,26.0279,26.0279,26.0279,3200.0
2015-01-30 18:25:00,26.0279,26.0279,26.0279,26.0279,6000.0
2015-01-30 18:20:00,26.0234,26.0279,26.0234,26.0279,1600.0
2015-01-30 18:15:00,26.0257,26.0257,26.0212,26.0257,4400.0
2015-01-30 18:10:00,26.0368,26.0368,26.0212,26.0279,12700.0
2015-01-30 18:05:00,25.999,26.0368,25.999,25.999,56516.0
2015-01-30 18:00:00,26.039,26.039,26.0234,26.0345,5560.0
2015-01-30 17:55:00,26.0301,26.039,26.0212,26.039,26728.0
2015-01-30 17:50:00,26.0345,26.0345,26.0257,26.0301,8968.0
2015-01-30 17:45:00,26.0412,26.0412,26.0013,26.0345,28400.0
2015-01-30 17:40:00,26.0434,26.0456,26.0412,26.0456,20844.0
2015-01-30 17:35:00,26.0456,26.0479,26.0368,26.0456,7000.0
2015-01-30 17:30:00,26.0479,26.0479,26.039,26.039,3548.0
2015-01-30 17:25:00,26.0434,26.0479,26.0434,26.0479,7924.0
2015-01-30 17:20:00,26.0368,26.0523,26.0368,26.0479,29524.0
2015-01-30 17:15:00,26.039,26.0412,25.999,26.0412,164672.0
2015-01-30 17:10:00,26.039,26.0523,25.999,26.039,76212.0
2015-01-30 17:05:00,26.0257,26.039,26.0212,26.039,31608.0
2015-01-30 17:00:00,26.0257,26.0257,26.019,26.0212,12288.0
2015-01-30 16:55:00,26.0257,26.4331,26.019,26.019,38184.0
2015-01-30 16:50:00,26.0212,26.0301,25.999,26.0279,51456.0
2015-01-30 16:45:00,26.0345,26.039,26.0101,26.0212,23520.0
2015-01-30 16:40:00,26.0212,26.0523,26.0124,26.0501,38620.0
2015-01-30 16:35:00,26.0101,26.0745,26.0079,26.0301,180088.0
2015-01-30 16:30:00,26.0101,26.0257,26.0101,26.0124,19400.0
2015-01-30 16:25:00,26.0523,26.3852,25.9964,26.019,468492.0
2015-01-30 16:20:00,26.0967,26.1078,25.9999,26.039,328768.0
2015-01-30 16:15:00,26.0013,26.4612,25.9959,26.0967,1120368.0
2015-01-30 16:10:00,25.9879,26.0079,25.9746,26.0079,734576.0
2015-01-30 16:05:00,25.9835,25.999,25.9835,25.9924,1252692.0
2015-01-30 16:00:00,25.999,26.5005,25.9706,25.9902,20118472.0
2015-01-30 15:55:00,25.9968,26.0124,25.9524,25.999,10157640.0
2015-01-30 15:50:00,26.0168,26.059,25.9946,25.9968,5050940.0
2015-01-30 15:45:00,25.9813,26.059,25.98,26.0168,5934672.0
2015-01-30 15:40:00,26.0856,26.0856,25.9302,25.9802,8755652.0
2015-01-30 15:35:00,26.09,26.1477,26.0545,26.0789,5184312.0
2015-01-30 15:30:00,26.2054,26.2076,26.059,26.0922,6851096.0
2015-01-30 15:25:00,26.1819,26.2143,26.1388,26.2076,4763040.0
2015-01-30 15:20:00,26.2187,26.2354,26.1189,26.1832,8257496.0
2015-01-30 15:15:00,26.343,26.3444,26.2187,26.2187,4295776.0
2015-01-30 15:10:00,26.2942,26.343,26.2786,26.343,3937808.0
2015-01-30 15:05:00,26.3785,26.3985,26.2787,26.2942,4236260.0
2015-01-30 15:00:00,26.4207,26.4362,26.3785,26.3785,1995800.0
2015-01-30 14:55:00,26.4185,26.4295,26.3807,26.4229,1779920.0
2015-01-30 14:50:00,26.4074,26.4362,26.3874,26.4185,2623444.0
2015-01-30 14:45:00,26.4717,26.4806,26.3833,26.4074,2735692.0
2015-01-30 14:40:00,26.4761,26.505,26.4717,26.4717,1754616.0
2015-01-30 14:35:00,26.4806,26.4983,26.4606,26.4761,1725556.0
2015-01-30 14:30:00,26.5316,26.5494,26.4784,26.4806,3341996.0
2015-01-30 14:25:00,26.4911,26.5316,26.4828,26.5294,3188840.0
2015-01-30 14:20:00,26.454,26.4939,26.4406,26.4895,2638480.0
2015-01-30 14:15:00,26.3963,26.4606,26.3829,26.4562,2068956.0
2015-01-30 14:10:00,26.4096,26.4251,26.3674,26.3941,2151180.0
2015-01-30 14:05:00,26.4273,26.4295,26.3874,26.4074,1965584.0
2015-01-30 14:00:00,26.452,26.4551,26.4129,26.4295,1258536.0
2015-01-30 13:55:00,26.4606,26.4606,26.4262,26.454,1639216.0
2015-01-30 13:50:00,26.4606,26.4695,26.4451,26.4628,1178112.0
2015-01-30 13:45:00,26.4251,26.4628,26.4204,26.4606,1716676.0
2015-01-30 13:40:00,26.4528,26.454,26.3852,26.4231,2642492.0
2015-01-30 13:35:00,26.4695,26.4739,26.4444,26.454,960640.0
2015-01-30 13:30:00,26.4606,26.4806,26.4362,26.4673,1571168.0
2015-01-30 13:25:00,26.4229,26.4717,26.4207,26.4584,1285660.0
2015-01-30 13:20:00,26.454,26.4717,26.4142,26.4229,1569248.0
2015-01-30 13:15:00,26.454,26.4651,26.4251,26.454,1760316.0
2015-01-30 13:10:00,26.4976,26.5006,26.4517,26.454,1597364.0
2015-01-30 13:05:00,26.5272,26.5338,26.4917,26.4983,1673396.0
2015-01-30 13:00:00,26.4872,26.536,26.4789,26.525,1641492.0
2015-01-30 12:55:00,26.5039,26.5072,26.4695,26.4872,1634912.0
2015-01-30 12:50:00,26.4673,26.5161,26.4673,26.5028,1818808.0
2015-01-30 12:45:00,26.5036,26.505,26.4517,26.4673,2154212.0
2015-01-30 12:40:00,26.5109,26.5183,26.4895,26.5039,1370692.0
2015-01-30 12:35:00,26.525,26.5338,26.4872,26.511,1807496.0
2015-01-30 12:30:00,26.5405,26.5449,26.505,26.5252,1613504.0
2015-01-30 12:25:00,26.4961,26.5472,26.4813,26.5405,2730648.0
2015-01-30 12:20:00,26.4895,26.5072,26.4695,26.495,1533140.0
2015-01-30 12:15:00,26.5006,26.505,26.4695,26.4917,1624304.0
2015-01-30 12:10:00,26.4673,26.5094,26.434,26.5028,1986736.0
2015-01-30 12:05:00,26.4724,26.4828,26.4495,26.4628,1116972.0
2015-01-30 12:00:00,26.444,26.4917,26.4406,26.4717,2627816.0
2015-01-30 11:55:00,26.3918,26.4562,26.3896,26.4451,1888536.0
2015-01-30 11:50:00,26.4042,26.4229,26.3696,26.3925,2523220.0
2015-01-30 11:45:00,26.4158,26.4406,26.4007,26.4065,1512236.0
2015-01-30 11:40:00,26.4562,26.4628,26.3985,26.414,2322456.0
2015-01-30 11:35:00,26.454,26.4873,26.4162,26.4562,1680288.0
2015-01-30 11:30:00,26.4695,26.4983,26.4524,26.454,2338352.0
2015-01-30 11:25:00,26.3985,26.485,26.3963,26.4704,2513392.0
2015-01-30 11:20:00,26.4096,26.414,26.3718,26.3987,1784968.0
2015-01-30 11:15:00,26.4007,26.4185,26.3718,26.4085,2401032.0
2015-01-30 11:10:00,26.4229,26.4606,26.3563,26.4007,4025480.0
2015-01-30 11:05:00,26.4717,26.4817,26.3896,26.4229,2957168.0
2015-01-30 11:00:00,26.4628,26.4939,26.434,26.4717,1811428.0
2015-01-30 10:55:00,26.4761,26.4806,26.4118,26.4628,3193136.0
2015-01-30 10:50:00,26.5117,26.5139,26.4473,26.4784,2373892.0
2015-01-30 10:45:00,26.454,26.5205,26.4528,26.5117,3546612.0
2015-01-30 10:40:00,26.4229,26.4917,26.3963,26.4531,3774868.0
2015-01-30 10:35:00,26.4229,26.4495,26.3963,26.4251,3138164.0
2015-01-30 10:30:00,26.4695,26.4706,26.3963,26.4229,4146368.0
2015-01-30 10:25:00,26.3829,26.4895,26.3696,26.4695,4789352.0
2015-01-30 10:20:00,26.454,26.4717,26.3674,26.3816,5289732.0
2015-01-30 10:15:00,26.485,26.4961,26.4251,26.454,5930192.0
2015-01-30 10:10:00,26.5938,26.6004,26.454,26.4806,7317716.0
2015-01-30 10:05:00,26.5927,26.6115,26.5627,26.5938,4342476.0
2015-01-30 10:00:00,26.5427,26.616,26.5316,26.5938,5398268.0
2015-01-30 09:55:00,26.6026,26.6293,26.525,26.5472,7460760.0
2015-01-30 09:50:00,26.5982,26.6226,26.5605,26.6026,8197552.0
2015-01-30 09:45:00,26.5705,26.6293,26.5605,26.5971,14506772.0
2015-01-30 09:40:00,26.4739,26.5716,26.4695,26.5705,8588340.0
2015-01-30 09:35:00,26.363,26.4961,26.3408,26.4717,9478304.0
2015-01-30 09:30:00,26.2742,26.363,26.2054,26.3586,11991980.0
2015-01-30 09:25:00,26.3008,26.3297,26.2387,26.2609,281564.0
2015-01-30 09:20:00,26.3142,26.3386,26.2964,26.2986,96220.0
2015-01-30 09:15:00,26.3386,26.3585,26.3031,26.3142,173060.0
2015-01-30 09:10:00,26.3541,26.394,26.3341,26.3408,188396.0
2015-01-30 09:05:00,26.3186,26.3563,26.3053,26.3519,118904.0
2015-01-30 09:00:00,26.2897,26.3363,26.2897,26.3275,131384.0
2015-01-30 08:55:00,26.292,26.2942,26.2809,26.2831,57924.0
2015-01-30 08:50:00,26.292,26.2964,26.2653,26.292,252100.0
2015-01-30 08:45:00,26.2809,26.3119,26.2809,26.292,139636.0
2015-01-30 08:40:00,26.2631,26.2897,26.2631,26.2831,66788.0
