epoch,train_loss,val_loss,train_cosine_similarity,train_std_ctx,train_std_tgt,train_loss_near,train_loss_med,train_loss_far_pooled,train_loss_near_weighted,train_loss_med_weighted,train_loss_far_weighted,train_loss_total
0,0.25277525285330926,0.22729668372443745,0.9086743087317404,0.1828649159911917,0.429977487999102,0.08536054703370971,0.07992965975539625,0.08748504528724357,0.08536054703370971,0.07992965975539625,0.08748504528724357,0.25277525285330926
1,0.3263790785690039,0.3475583291479519,0.8832492659599083,0.23802506802243423,0.5154189576924835,0.11205644972457741,0.10689666665555364,0.10742596118036885,0.11205644972457741,0.10689666665555364,0.10742596118036885,0.3263790785690039
2,0.28055278553488505,0.21126915855067116,0.8953842054743794,0.2722490375542509,0.5199650175745975,0.08321844084054561,0.10007591258466902,0.09725843110631184,0.08321844084054561,0.10007591258466902,0.09725843110631184,0.28055278553488505
3,0.15552414947534135,0.13633273728191853,0.9412022610066345,0.3259041598735593,0.47170736484270726,0.045015430047037855,0.05135567289216248,0.05915304591354415,0.045015430047037855,0.05135567289216248,0.05915304591354415,0.15552414947534135
4,0.11340066723690177,0.11413071996399335,0.9562185614148556,0.37697871132285554,0.47983195278690666,0.030700987665425183,0.037660306206394954,0.04503937283767521,0.030700987665425183,0.037660306206394954,0.04503937283767521,0.11340066723690177
5,0.09472689947411829,0.096857579265322,0.963079208497843,0.4162543322993906,0.4977417102505489,0.02541596815247315,0.03078916672493707,0.03852176465588051,0.02541596815247315,0.03078916672493707,0.03852176465588051,0.09472689947411829
6,0.07888504623008367,0.08531923812947102,0.9701174583224302,0.4425173104220991,0.5060126775700743,0.022213382214225457,0.025766234919531734,0.030905428916236478,0.022213382214225457,0.025766234919531734,0.030905428916236478,0.07888504623008367
7,0.07029436570875224,0.0788208712956735,0.9735664437982917,0.4604754673100967,0.514910146923355,0.019998902748261698,0.023028168706377732,0.027267294040577518,0.019998902748261698,0.023028168706377732,0.027267294040577518,0.07029436570875224
8,0.06514013830819347,0.07387789562344552,0.9753174641843658,0.4751506875068443,0.5245718501549399,0.018251158497733636,0.021331677650672627,0.025557301951397354,0.018251158497733636,0.021331677650672627,0.025557301951397354,0.06514013830819347
9,0.06053258710700339,0.0694433516423617,0.9769053491274955,0.4861206180565265,0.5315292118662629,0.016715346695340718,0.01982175147942993,0.02399548858877539,0.016715346695340718,0.01982175147942993,0.02399548858877539,0.06053258710700339
10,0.056377997215405026,0.06565290657537325,0.9785464089878356,0.49576198005050587,0.5373197996484641,0.015600617789761137,0.01852631664613663,0.022251062493935967,0.015600617789761137,0.01852631664613663,0.022251062493935967,0.056377997215405026
11,0.05311367381364107,0.06292907803186348,0.9799188386998783,0.5012824252577118,0.5398520303694583,0.014894865288589541,0.01745777018882787,0.020761038248751373,0.014894865288589541,0.01745777018882787,0.020761038248751373,0.05311367381364107
12,0.0510922029655612,0.06129601901131017,0.9807621771624075,0.507004027332061,0.5436171827559971,0.014484618245032282,0.01676058544756752,0.019846999204784468,0.014484618245032282,0.01676058544756752,0.019846999204784468,0.0510922029655612
13,0.050487641085618436,0.0625540564102786,0.9810765066199539,0.5149833065205516,0.5504693591462974,0.014499557068190687,0.01651011150618449,0.01947797246236169,0.014499557068190687,0.01651011150618449,0.01947797246236169,0.050487641085618436
14,0.05173650783234538,0.06369445001972573,0.980630771889871,0.5350785800435925,0.5700311561151105,0.014839040847412872,0.017042636359367747,0.019854830580542264,0.014839040847412872,0.017042636359367747,0.019854830580542264,0.05173650783234538
15,0.05127997725214089,0.06307630709239415,0.9806564048508912,0.5493356295712086,0.5832800465064812,0.014486279378475323,0.01694152977199227,0.019852167944737726,0.014486279378475323,0.01694152977199227,0.019852167944737726,0.05127997725214089
16,0.04968354145054659,0.06160627042076417,0.9811730503377335,0.5536079400152133,0.5863290354197855,0.01394696948144235,0.016380653752641784,0.019355918177871745,0.01394696948144235,0.016380653752641784,0.019355918177871745,0.04968354145054659
17,0.04842363825345731,0.060658310273928304,0.9814997616723098,0.55750612527626,0.5893875816579681,0.013399011293395283,0.01594561413676576,0.019079012868318767,0.013399011293395283,0.01594561413676576,0.019079012868318767,0.04842363825345731
18,0.04727286416831431,0.06069753248510616,0.9818176505315369,0.5601469359015891,0.5912818998427681,0.01293306558994957,0.015540537798715478,0.01879926077836291,0.01293306558994957,0.015540537798715478,0.01879926077836291,0.04727286416831431
19,0.046272581124174005,0.059325934427657295,0.9820423582311493,0.5638585799471449,0.5943518371542514,0.012457198603593267,0.015184272418971797,0.018631110037291083,0.012457198603593267,0.015184272418971797,0.018631110037291083,0.046272581124174005
20,0.04523949477903915,0.058558054002267976,0.9822761551451288,0.5660572121156513,0.5959932597467253,0.011965567940712305,0.014815142755113666,0.018458784117944826,0.011965567940712305,0.014815142755113666,0.018458784117944826,0.04523949477903915
21,0.04420892120910119,0.05748061657484089,0.9824511165118349,0.5693812841209918,0.5988045294475819,0.011386462046059868,0.014451811344810448,0.018370647858107946,0.011386462046059868,0.014451811344810448,0.018370647858107946,0.04420892120910119
22,0.0432663058079985,0.056850668827870064,0.9825942248764618,0.5729066666153914,0.601847230894131,0.010826517347997642,0.014128809334267734,0.018310979188764624,0.010826517347997642,0.014128809334267734,0.018310979188764624,0.0432663058079985
23,0.042300412230687576,0.05628937823431832,0.9827299855690634,0.5754575566362939,0.6039977636785139,0.010273985403914066,0.013739367343680881,0.0182870594599382,0.010273985403914066,0.013739367343680881,0.0182870594599382,0.042300412230687576
24,0.041363833544168685,0.05556509665080479,0.9828747859152641,0.5780371342739348,0.6061636827762614,0.009746245184439898,0.013380288905386931,0.018237299512227925,0.009746245184439898,0.013380288905386931,0.018237299512227925,0.041363833544168685
25,0.040552113894681906,0.05531136531914983,0.9830076315784981,0.5800831423279988,0.6078727949225442,0.009321839796914333,0.013034093512726422,0.018196180532300505,0.009321839796914333,0.013034093512726422,0.018196180532300505,0.040552113894681906
26,0.03972619958736455,0.05505337442404457,0.9831692237221734,0.5814813982221961,0.6088836226015459,0.008920456169595047,0.012688796311225844,0.018116947127125374,0.008920456169595047,0.012688796311225844,0.018116947127125374,0.03972619958736455
27,0.038906102588410534,0.054679847375622814,0.9834295876776975,0.5813226096373236,0.6083405711868192,0.008640957987244699,0.012372017975701071,0.017893126558574196,0.008640957987244699,0.012372017975701071,0.017893126558574196,0.038906102588410534
28,0.03782975519312679,0.05422537312177675,0.9838650563309864,0.578519672896322,0.6050010242844155,0.008372880954511506,0.011996104421855584,0.017460769764019064,0.008372880954511506,0.011996104421855584,0.017460769764019064,0.03782975519312679
29,0.037029011190472715,0.05427526185022933,0.984161857988953,0.5779942814157812,0.6040387630297993,0.008133935326586853,0.01171460921377026,0.017180466569075105,0.008133935326586853,0.01171460921377026,0.017180466569075105,0.037029011190472715
30,0.03619538770360841,0.05417294385177748,0.9845191121759994,0.5764579199131022,0.6020416566350842,0.007928423844638039,0.011451712572813364,0.01681525127843887,0.007928423844638039,0.011451712572813364,0.01681525127843887,0.03619538770360841
31,0.03546729490922466,0.05390201346682651,0.9848087211834133,0.5754045504068143,0.60059053668989,0.007717720005218742,0.011218704491627315,0.016530870507569028,0.007717720005218742,0.011218704491627315,0.016530870507569028,0.03546729490922466
32,0.03485251830386523,0.05465032049853887,0.9850377083154015,0.5756795064685094,0.6004972151629833,0.007513568963011655,0.011030459975906086,0.016308489340506698,0.007513568963011655,0.011030459975906086,0.016308489340506698,0.03485251830386523
33,0.034351408417280044,0.054875266991023505,0.9851972070517461,0.5766025472082486,0.6011204596053171,0.007307290187033501,0.01087818648254509,0.016165931640933807,0.007307290187033501,0.01087818648254509,0.016165931640933807,0.034351408417280044
34,0.033792417347225365,0.055493328108319216,0.9854561565495328,0.576139617608397,0.600310430424648,0.007176941590002887,0.010735295109646343,0.015880180626994422,0.007176941590002887,0.010735295109646343,0.015880180626994422,0.033792417347225365
35,0.03333670073523294,0.055468760696905,0.9856512928535925,0.5770253600830532,0.6008458786247843,0.007046343093655633,0.010623608459847162,0.01566674908139429,0.007046343093655633,0.010623608459847162,0.01566674908139429,0.03333670073523294
36,0.03272154508673107,0.05622052030105676,0.985984233943797,0.5754237128884753,0.598814798323489,0.006969743080884836,0.010473104681336007,0.015278697163072409,0.006969743080884836,0.010473104681336007,0.015278697163072409,0.03272154508673107
37,0.03221539797220194,0.05630100618249604,0.9863056213651573,0.5734613458754608,0.5964365212956845,0.0069720901295450095,0.010356504019884938,0.014886803732083813,0.0069720901295450095,0.010356504019884938,0.014886803732083813,0.03221539797220194
38,0.031586340957871786,0.05545421491510102,0.9866900977508798,0.5701393954332362,0.5926413839034612,0.006973987470962395,0.010183596827902765,0.014428756580538842,0.006973987470962395,0.010183596827902765,0.014428756580538842,0.031586340957871786
39,0.031047406897092886,0.05487632042329226,0.9870590160070862,0.5660013531782351,0.5880769211284363,0.007031084663486777,0.010039126488910113,0.013977195649505567,0.007031084663486777,0.010039126488910113,0.013977195649505567,0.031047406897092886
40,0.030398910348072072,0.05444098358441676,0.9874785822399413,0.5604458785518098,0.5820546299219131,0.007078138514529935,0.009848977356778654,0.013471794346841412,0.007078138514529935,0.009848977356778654,0.013471794346841412,0.030398910348072072
41,0.029840739016827628,0.05359999038545149,0.9878673420920556,0.5544026964935809,0.5756257667067302,0.007159557703558294,0.009686224009502082,0.012994957186065572,0.007159557703558294,0.009686224009502082,0.012994957186065572,0.029840739016827628
