update,policy_loss,value_loss,entropy,kl,clip_fraction,mean_reward,mean_turnover
1,-0.021187087520956993,0.002068415516987443,0.9185627102851868,0.014239685609936714,0.0966796875,-0.00047634384827688336,0.5339528322219849
2,-0.005920663475990295,0.0001749475341057405,0.9172829985618591,0.004956791177392006,0.0442708320915699,-0.0005203283508308232,0.524860143661499
3,0.020879017189145088,8.664073538966477e-05,0.9150729179382324,0.006569770164787769,0.05078125,-0.0005325202946551144,0.5479244589805603
4,-0.013972904533147812,0.00012768793385475874,0.9131426215171814,0.008359942585229874,0.0625,-0.0005748247494921088,0.515846848487854
5,-0.0009542468469589949,6.593880971195176e-05,0.911792516708374,0.0039850687608122826,0.05048076808452606,-0.0004873080179095268,0.5163249969482422
6,-0.0007515899487771094,0.00010149482113774866,0.9106245040893555,0.004999461583793163,0.0234375,-0.0005211355164647102,0.5345098972320557
7,-0.005711802747100592,0.0001021853749989532,0.9082783460617065,0.00867738388478756,0.08203125,-0.0005621220916509628,0.547095775604248
8,-0.00019065823289565742,6.920679879840463e-05,0.9065329432487488,0.003709083190187812,0.0401785708963871,-0.0004573090118356049,0.5233376622200012
9,0.000403273559641093,5.143554153619334e-05,0.9051113128662109,0.0097804581746459,0.07512019574642181,-0.0005677960580214858,0.535592794418335
10,0.007586904801428318,5.194439654587768e-05,0.905170738697052,0.014215577393770218,0.0538194440305233,-0.0005296849994920194,0.5275338888168335
update,policy_loss,value_loss,entropy,kl,clip_fraction,mean_reward,mean_turnover
1,-0.029654206708073616,0.0014458837686106563,0.9179996252059937,0.00840816181153059,0.0732421875,-0.0005598132265731692,0.5611391663551331
2,0.0018540440360084176,0.00016855905414558947,0.9154518246650696,0.0024554298724979162,0.02901785634458065,-0.0005923112039454281,0.5307804346084595
3,-0.0037159156054258347,9.263343963539228e-05,0.9128595590591431,0.0036917775869369507,0.04541015625,-0.0005666142678819597,0.5430951714515686
4,-0.006329200696200132,5.749228876084089e-05,0.9117838144302368,-0.0011135059176012874,0.037109375,-0.00048319765483029187,0.4911133050918579
5,0.006552466657012701,5.044033969170414e-05,0.9101592302322388,0.006562382448464632,0.0580357126891613,-0.000544278766028583,0.511606752872467
6,-0.00510557834059,3.681303860503249e-05,0.9101364016532898,0.002290490083396435,0.06201171875,-0.0005799190257675946,0.5455541014671326
