epoch,train_loss,val_loss,train_cosine_similarity,train_std_ctx,train_std_tgt
0,0.051187330465399264,0.05500615281595353,0.8645032775694311,0.326243281180706,0.39551504719034447
1,0.04129145907740634,0.06749885463431873,0.8014620634705703,0.19872728094238012,0.27426499876974764
2,0.03619569413110215,0.06813364828299762,0.7656491535000509,0.14664051545017467,0.21723983116348475
3,0.027369450035354386,0.056718848493152146,0.7838833562874414,0.1320846379678594,0.19299739198997803
4,0.021821577332237437,0.050026229770710175,0.7955245055362492,0.12339315858997858,0.17958568185060853
5,0.018217087999567134,0.04814051056222726,0.8061287724330779,0.11676141649755903,0.1690871273403194
6,0.016558178393406134,0.05314891013470419,0.813801094095334,0.1135016648875529,0.1631626081781451
7,0.01581376064524341,0.05087275770433771,0.8172472348289325,0.11193969772711163,0.16095512239931697
8,0.015258262675308295,0.05213850341423607,0.8191213959172434,0.11118249402026929,0.15958374389076904
9,0.014884243421523044,0.056105793778158324,0.8201233188823175,0.1106679683808107,0.1587318679774515
10,0.014546391302949652,0.05971655663266142,0.822182742001883,0.11082974074277707,0.15812928713976213
11,0.01426793314671679,0.053190491273956246,0.822222685444354,0.10999872402497674,0.1569483251130969
12,0.013868878336449597,0.0552822546206303,0.8225277352042559,0.10906557854178632,0.15546594842118752
13,0.013645214628286629,0.05642072014583677,0.8221805836644299,0.10852800342028328,0.1545218355308238
14,0.01358576018810008,0.05301850830498039,0.8204026673870213,0.10806289767367573,0.15414325675173393
15,0.013221185733648293,0.05401109670736798,0.8215111866630195,0.10717444717026056,0.15248815271532484
16,0.01292412896238489,0.05103969245809619,0.822128385977077,0.10661106784654266,0.15113107319240374
17,0.012622730733290123,0.053563873105249536,0.8215217369572804,0.10546870207638878,0.14941431809259312
18,0.012518978401004322,0.05240430073080007,0.8202354530327595,0.10475215711628849,0.14854622624920027
19,0.012447733947590193,0.05585139268319603,0.8191354819090426,0.10401070607794642,0.1477252486404746
20,0.012499114115994856,0.0552530857179026,0.817085600912954,0.10344460930797794,0.14748283326547823
21,0.012468156544056957,0.054037592015008955,0.8170471910260418,0.10322430091733886,0.1472300060422089
22,0.01238867692855958,0.053657398350760256,0.8172615480141477,0.10274901939061727,0.14660646306198563
23,0.012148744319389686,0.053185456319612204,0.8184141854116381,0.10177887155472544,0.14525530831736921
24,0.012002003901960195,0.05248411574036811,0.818572922611561,0.1003488842446137,0.14367272512936394
25,0.011829823233547086,0.05360432040277168,0.8192421066191439,0.09965833695612168,0.142585934773679
26,0.01175414282825536,0.05326457276742695,0.8182664670923968,0.09906272101659512,0.1418976807187309
27,0.011902304225315172,0.05417338130628258,0.8148928578568936,0.09849605271318922,0.1419006945813916
28,0.011855740285776099,0.05503669366747519,0.8137081009901997,0.09790270693287526,0.1412732041155633
29,0.011710476282104669,0.05185139868215087,0.8144364546830924,0.09782478136609583,0.14072254052335367
30,0.011657191094253845,0.05256879201315713,0.813917204130558,0.09794612749958197,0.14057748107706036
31,0.011559433284706573,0.05306623702505743,0.8134622493147846,0.09740082070213671,0.139847735824494
32,0.011399537073001152,0.053009227286667626,0.8150247436349493,0.0972384679319901,0.13913614119593706
