epoch,train_loss,val_loss
0,0.061814082044228336,0.06628836053230706
1,0.05429610400030865,0.0670353764745258
epoch,train_loss,val_loss
0,0.05977703822530148,0.06295849097739548
epoch,train_loss,val_loss
0,0.019723280096941916,0.05239340240671618
1,0.05299022820887758,0.09159818109226962
2,0.07914303432369385,0.1519258045017311
3,0.09029494834762505,0.16092581661698752
4,0.0847646826371441,0.1613483335312507
5,0.07589136116987313,0.15305289259971414
6,0.07337232268730398,0.15305904531213518
7,0.06955936284571448,0.15930995107819773
8,0.06502778270651641,0.14436017364671785
9,0.06056827098295531,0.1305323113011171
10,0.05502295385060065,0.12236893902953765
epoch,train_loss,val_loss
0,0.05768841371241519,0.10857232841216538
1,0.09174152342945009,0.17542729230776224
2,0.08920998892966,0.17333819610002923
3,0.08394211601767251,0.17599178564875093
4,0.08117944063372252,0.17169830659787133
5,0.07628363524289693,0.16265181584717475
6,0.07139280428288176,0.15562333123222605
7,0.0634780466912643,0.14128984253190152
8,0.05903784733347814,0.13203416782597158
9,0.05304823685437441,0.12730175065361474
10,0.049026988836361425,0.11554706842983015
11,0.04578508816399228,0.11368237165351437
12,0.04279939777916297,0.10368760909936199
13,0.03997257639078752,0.09593200483295607
14,0.036229025162687965,0.09346512474170694
15,0.03490883997121059,0.08357191761981135
16,0.032389641891795155,0.08032649462047504
17,0.03032844933674342,0.07891997559736036
18,0.028866244791253635,0.07241888932424458
19,0.02722055597388295,0.06918844366318559
epoch,train_loss,val_loss
19,0.02596485406975262,0.06636595385378763
epoch,train_loss,val_loss
19,0.024630756907315705,0.0645543208907116
20,0.022957653401981054,0.06145998422209531
21,0.02197341139852891,0.058357253224167925
22,0.020394495934220578,0.054328672600629395
23,0.019386355889796772,0.050874586319168136
24,0.01873793415776591,0.04942652317121217
25,0.01781372151145821,0.04525266237531419
26,0.01710725918853902,0.04421902623359267
27,0.016551054736448672,0.04522337025822434
28,0.015886607604197172,0.04258563673149233
29,0.015476306045756621,0.04147512519298351
30,0.015045001229394556,0.039386964358440406
31,0.014650425053139984,0.03904491086962492
32,0.013978408180478522,0.03825500404640828
33,0.013548316623885458,0.03466353024521919
34,0.013363208725829336,0.036188614171967934
