epoch,train_loss,val_loss,train_cosine_similarity,train_std_ctx,train_std_tgt
259,0.0004376055440854414,0.002611605029072395,0.9837198154021629,0.0756123692003399,0.08112102036949674
260,0.0003722321256358368,0.0025722966578565296,0.9860012130774999,0.07561481817378828,0.08035535378595114
261,0.00034441808582579887,0.002516442374628666,0.9869009432349751,0.07485565303460412,0.0793007375370608
262,0.00034456981054742787,0.0026000167126767337,0.9868493346593126,0.07481565742860198,0.07926716740011226
263,0.0003355344203774718,0.0024934891220514794,0.9871216452875627,0.07458543830768392,0.07893542533983355
264,0.0003287444958116366,0.0025259661904004005,0.9872822448670158,0.07428584103822237,0.07857299419377632
265,0.00032864541716996965,0.002480417395134565,0.9872476810523173,0.07401585775637344,0.07831445995998006
266,0.0003223382232419911,0.002474409359879187,0.9874516132791994,0.0737544003918237,0.07798788176459286
267,0.0003230948365231784,0.002520287162609181,0.9873591696791969,0.07397102800459258,0.07820506163913271
268,0.00032276257061815487,0.0024641123509590887,0.9873335445115689,0.07403480997493145,0.07826330020081385
269,0.0003224763347677106,0.0025628065881651957,0.987288039875596,0.0738591881373183,0.0780951249122384
270,0.0003268273172162937,0.002492151463135182,0.9871255329946285,0.07416678392309917,0.07844059881367703
271,0.0003216168649375932,0.002530314165844836,0.9872716490930248,0.07394584402324182,0.07816432316312677
272,0.00032493568177605525,0.0025177191914204362,0.9870966152004573,0.07423254886693634,0.07848115748920931
273,0.0003206967195337675,0.0024986593578125702,0.9871846774585633,0.07400904100815298,0.07821383119925208
274,0.00031608719705523953,0.0024657946094332334,0.987315153510203,0.07347721480451554,0.0776525798816926
275,0.000314196125257267,0.002494410406828362,0.9873215522926315,0.07327984382100255,0.07744458766558425
276,0.00031214028817975136,0.002519116159407543,0.9873108475811396,0.07310216899504775,0.07725151117905797
277,0.00031414057654761176,0.00247490052141358,0.9871847620359051,0.07311918538196285,0.07729226710944778
278,0.00031516197244056937,0.0024519949805977236,0.9871184768884078,0.07323886480903909,0.07742287162323243
279,0.00031223307318135126,0.0024027322697175012,0.9871175977081178,0.0727799135735148,0.07694698890207313
280,0.00030856860365365213,0.002377046514438562,0.9871987118786973,0.07256335240048853,0.0766957830622969
281,0.0003054912890429082,0.0023746501760974576,0.9872127000051054,0.0723036223809003,0.07641072726767996
282,0.0003031827577158787,0.0023958090981529034,0.9872123560179835,0.07219881588526865,0.07628365140776389
283,0.0003035640302151,0.0023601363207419197,0.9871562924780865,0.07200088867910295,0.07609959927943384
284,0.00030044485114766984,0.002323337329412484,0.9871669019870607,0.07186530589056109,0.07593058738194906
285,0.00029450040698288885,0.002296252652788051,0.9873469915785809,0.07143022146502974,0.07544178205280908
286,0.00029044582989580357,0.002268704447393342,0.9874444168782517,0.07128923558611644,0.07525553457703986
287,0.0002893602992145698,0.0022551868558413797,0.9874269028661751,0.07129045766686262,0.07524083989411004
288,0.00028406144787001576,0.0022476392782250928,0.9875727391996874,0.0708346949264466,0.07474103551431607
289,0.0002879822522373281,0.002219266287661944,0.9873186936962746,0.07092215928282192,0.07487717408966642
290,0.00028702954799875527,0.0022349958742708693,0.9872711225225049,0.07075962921965263,0.07470875595339202
291,0.000281677379598657,0.0021968432172963567,0.9874075166321554,0.07051880463015421,0.0744093193661554
292,0.0002769202025806929,0.0022039148127267066,0.9875530682062443,0.07021462084511994,0.0740576680852726
293,0.00028203900889889246,0.002183841645729716,0.9872591636868805,0.07046571181343478,0.07436680903017756
294,0.000276164520150437,0.0022210036703028606,0.9874394941000127,0.07009461751215071,0.07393910649265696
295,0.0002763934073976164,0.002150764214116838,0.9873668207717036,0.0700826266537542,0.07392843978207102
296,0.0002655537243439676,0.0021281023815957613,0.9877177128207543,0.06939726333196455,0.0731318082763508
297,0.00027218794346862496,0.002162185640455308,0.9874010157208197,0.07004468080554554,0.073839618177282
298,0.00027109628485510193,0.0021671852408364028,0.9873787717856909,0.07023476147251168,0.07400790210003438
299,0.00026920715555375655,0.0021546946229207536,0.9874207324896876,0.07023727017723524,0.07398384132462998
300,0.00026829330255912447,0.002144431972395411,0.9873926494432532,0.06985207043382019,0.07360673348894232
301,0.00026437837244913334,0.002133885553475566,0.9875228020277891,0.06967995997238537,0.07338811612647513
302,0.0002646820496499958,0.0021458849437117527,0.9874084111023326,0.06978802533135584,0.07349811681645661
303,0.00026305573154401893,0.002170993929105968,0.987419652656133,0.0697423756593772,0.0734330200453992
304,0.0002639979839471276,0.0021481367286185844,0.987328190106177,0.06966620121489872,0.07337345680877154
305,0.00026201502031305245,0.002137106216237457,0.9873651514647035,0.0695820899937935,0.07326694981971749
306,0.0002595762517259515,0.002135663865551401,0.9874180745230362,0.06945434731574869,0.07311422526836395
307,0.0002596595347927986,0.0021408336674008373,0.9873767831579969,0.0694794969301921,0.07313950213165622
308,0.0002606295116313387,0.0021194018239862975,0.9872836899851621,0.06951409773864294,0.07318592897281345
309,0.00025645113485016797,0.0021245122218939974,0.9874229303461761,0.06910880233047037,0.07274305179656258
310,0.0002586705480281654,0.0021281118082130544,0.9872809509986002,0.06915025612700126,0.07281367614747507
311,0.0002563684242717708,0.0021140390108248777,0.9873150891937286,0.06886110618239336,0.07250767207958482
312,0.00026001133636218077,0.0021230244711222877,0.9870821742907815,0.06899869017626928,0.07268729859543412
313,0.0002615793327271309,0.002123094044773924,0.9869748609810478,0.06904481925629816,0.07275499626699644
314,0.00026124952527903307,0.0021243315634571695,0.9869234773716907,0.06896785343941964,0.072675651986255
315,0.0002613061085953506,0.0021225305972620845,0.9868216652879602,0.06888569356954616,0.07260163216722812
316,0.00025963704615372153,0.0020896918873617113,0.9868392195155027,0.06876239720363862,0.07246077873195585
317,0.00025987400418642557,0.0020881096923923387,0.9867620293330769,0.06878028014903012,0.07248346442761629
318,0.0002571569770282841,0.0020887413426520086,0.9868290284169993,0.0684818545172337,0.07216226626997409
